ISIN,Position,PortfolioName,InvestorName
SG1W38939029,0,WebPortfolio,WebInvestor
HK0000077468,1000,WebPortfolio,WebInvestor
BMG348041077,1000,WebPortfolio,WebInvestor
KYG407691040,1000,WebPortfolio,WebInvestor
TRASAHOL91Q5,1000,WebPortfolio,WebInvestor
VGG456671053,1000,WebPortfolio,WebInvestor
ZAE000067211,1000,WebPortfolio,WebInvestor
EGS30901C010,1000,WebPortfolio,WebInvestor
BMG5315B1072,1000,WebPortfolio,WebInvestor
HK0992009065,1000,WebPortfolio,WebInvestor
KYG5496K1242,1000,WebPortfolio,WebInvestor
VGG572791041,1000,WebPortfolio,WebInvestor
BRMRVEACNOR2,1000,WebPortfolio,WebInvestor
INE733E01010,1000,WebPortfolio,WebInvestor
US6708662019,1000,WebPortfolio,WebInvestor
US69343P1057,1000,WebPortfolio,WebInvestor
GB00B24CT194,1000,WebPortfolio,WebInvestor
GB00B0H2K534,1000,WebPortfolio,WebInvestor
CNE100000593,1000,WebPortfolio,WebInvestor
ZAE000070660,1000,WebPortfolio,WebInvestor
ZAE000006896,1000,WebPortfolio,WebInvestor
US80585Y3080,1000,WebPortfolio,WebInvestor
SG1R50925390,1000,WebPortfolio,WebInvestor
TW0002330008,1000,WebPortfolio,WebInvestor
TW0001504009,1000,WebPortfolio,WebInvestor
BRTOTSACNOR8,1000,WebPortfolio,WebInvestor
GB0001500809,1000,WebPortfolio,WebInvestor
AN8068571086,1000,WebPortfolio,WebInvestor
AT0000606306,1000,WebPortfolio,WebInvestor
AT0000652011,1000,WebPortfolio,WebInvestor
AT0000720008,1000,WebPortfolio,WebInvestor
AT0000730007,1000,WebPortfolio,WebInvestor
AT0000743059,1000,WebPortfolio,WebInvestor
AT0000809058,1000,WebPortfolio,WebInvestor
AT0000908504,1000,WebPortfolio,WebInvestor
AU000000ALL7,1000,WebPortfolio,WebInvestor
AU000000ALQ6,1000,WebPortfolio,WebInvestor
AU000000AMC4,1000,WebPortfolio,WebInvestor
AU000000AMP6,1000,WebPortfolio,WebInvestor
AU000000ANZ3,1000,WebPortfolio,WebInvestor
AU000000APA1,1000,WebPortfolio,WebInvestor
AU000000ASX7,1000,WebPortfolio,WebInvestor
AU000000AWC3,1000,WebPortfolio,WebInvestor
AU000000AZJ1,1000,WebPortfolio,WebInvestor
AU000000BEN6,1000,WebPortfolio,WebInvestor
AU000000BHP4,1000,WebPortfolio,WebInvestor
AU000000BLD2,1000,WebPortfolio,WebInvestor
AU000000BOQ8,1000,WebPortfolio,WebInvestor
AU000000BXB1,1000,WebPortfolio,WebInvestor
AU000000CBA7,1000,WebPortfolio,WebInvestor
AU000000CCL2,1000,WebPortfolio,WebInvestor
AU000000CGF5,1000,WebPortfolio,WebInvestor
AU000000CIM7,1000,WebPortfolio,WebInvestor
AU000000COH5,1000,WebPortfolio,WebInvestor
AU000000CPU5,1000,WebPortfolio,WebInvestor
AU000000CSL8,1000,WebPortfolio,WebInvestor
AU000000CTX1,1000,WebPortfolio,WebInvestor
AU000000CWN6,1000,WebPortfolio,WebInvestor
AU000000DMP0,1000,WebPortfolio,WebInvestor
AU000000DXS1,1000,WebPortfolio,WebInvestor
AU000000FLT9,1000,WebPortfolio,WebInvestor
AU000000FMG4,1000,WebPortfolio,WebInvestor
AU000000FXJ5,1000,WebPortfolio,WebInvestor
AU000000GMG2,1000,WebPortfolio,WebInvestor
AU000000GPT8,1000,WebPortfolio,WebInvestor
AU000000HVN7,1000,WebPortfolio,WebInvestor
AU000000IAG3,1000,WebPortfolio,WebInvestor
AU000000ILU1,1000,WebPortfolio,WebInvestor
AU000000JHX1,1000,WebPortfolio,WebInvestor
AU000000LLC3,1000,WebPortfolio,WebInvestor
AU000000LYC6,1000,WebPortfolio,WebInvestor
AU000000MGR9,1000,WebPortfolio,WebInvestor
AU000000MPL3,1000,WebPortfolio,WebInvestor
AU000000MQG1,1000,WebPortfolio,WebInvestor
AU000000MTS0,1000,WebPortfolio,WebInvestor
AU000000NAB4,1000,WebPortfolio,WebInvestor
AU000000NCM7,1000,WebPortfolio,WebInvestor
AU000000ORG5,1000,WebPortfolio,WebInvestor
AU000000ORI1,1000,WebPortfolio,WebInvestor
AU000000OZL8,1000,WebPortfolio,WebInvestor
AU000000PTM6,1000,WebPortfolio,WebInvestor
AU000000QAN2,1000,WebPortfolio,WebInvestor
AU000000QBE9,1000,WebPortfolio,WebInvestor
AU000000RHC8,1000,WebPortfolio,WebInvestor
AU000000RIO1,1000,WebPortfolio,WebInvestor
AU000000SCG8,1000,WebPortfolio,WebInvestor
AU000000SEK6,1000,WebPortfolio,WebInvestor
AU000000SGP0,1000,WebPortfolio,WebInvestor
AU000000SHL7,1000,WebPortfolio,WebInvestor
AU000000STO6,1000,WebPortfolio,WebInvestor
AU000000SUN6,1000,WebPortfolio,WebInvestor
AU000000TAH8,1000,WebPortfolio,WebInvestor
AU000000TCL6,1000,WebPortfolio,WebInvestor
AU000000TLS2,1000,WebPortfolio,WebInvestor
AU000000TPM6,1000,WebPortfolio,WebInvestor
AU000000TTS5,1000,WebPortfolio,WebInvestor
AU000000TWE9,1000,WebPortfolio,WebInvestor
AU000000VOC6,1000,WebPortfolio,WebInvestor
AU000000WBC1,1000,WebPortfolio,WebInvestor
AU000000WES1,1000,WebPortfolio,WebInvestor
AU000000WFD0,1000,WebPortfolio,WebInvestor
AU000000WHC8,1000,WebPortfolio,WebInvestor
AU000000WOR2,1000,WebPortfolio,WebInvestor
AU000000WOW2,1000,WebPortfolio,WebInvestor
AU000000WPL2,1000,WebPortfolio,WebInvestor
BE0003470755,1000,WebPortfolio,WebInvestor
BE0003565737,1000,WebPortfolio,WebInvestor
BE0003735496,1000,WebPortfolio,WebInvestor
BE0003739530,1000,WebPortfolio,WebInvestor
BE0003810273,1000,WebPortfolio,WebInvestor
BE0003826436,1000,WebPortfolio,WebInvestor
BE0003884047,1000,WebPortfolio,WebInvestor
BE0974256852,1000,WebPortfolio,WebInvestor
BE0974264930,1000,WebPortfolio,WebInvestor
BE0974293251,1000,WebPortfolio,WebInvestor
BMG0450A1053,1000,WebPortfolio,WebInvestor
BMG0692U1099,1000,WebPortfolio,WebInvestor
BMG0750C1082,1000,WebPortfolio,WebInvestor
BMG169621056,1000,WebPortfolio,WebInvestor
BMG3223R1088,1000,WebPortfolio,WebInvestor
BMG4587L1090,1000,WebPortfolio,WebInvestor
BMG475671050,1000,WebPortfolio,WebInvestor
BMG491BT1088,1000,WebPortfolio,WebInvestor
BMG507361001,1000,WebPortfolio,WebInvestor
BMG524401079,1000,WebPortfolio,WebInvestor
BMG5485F1692,1000,WebPortfolio,WebInvestor
BMG5876H1051,1000,WebPortfolio,WebInvestor
BMG6359F1032,1000,WebPortfolio,WebInvestor
BMG667211046,1000,WebPortfolio,WebInvestor
BMG668971101,1000,WebPortfolio,WebInvestor
BMG7496G1033,1000,WebPortfolio,WebInvestor
BMG7945E1057,1000,WebPortfolio,WebInvestor
BMG8063F1068,1000,WebPortfolio,WebInvestor
BMG812761002,1000,WebPortfolio,WebInvestor
BMG982941046,1000,WebPortfolio,WebInvestor
BMG988031446,1000,WebPortfolio,WebInvestor
CA00208D4084,1000,WebPortfolio,WebInvestor
CA0084741085,1000,WebPortfolio,WebInvestor
CA0089161081,1000,WebPortfolio,WebInvestor
CA01626P4033,1000,WebPortfolio,WebInvestor
CA04682R1073,1000,WebPortfolio,WebInvestor
CA05534B7604,1000,WebPortfolio,WebInvestor
CA0636711016,1000,WebPortfolio,WebInvestor
CA0641491075,1000,WebPortfolio,WebInvestor
CA0679011084,1000,WebPortfolio,WebInvestor
CA07317Q1054,1000,WebPortfolio,WebInvestor
CA09228F1036,1000,WebPortfolio,WebInvestor
CA0977512007,1000,WebPortfolio,WebInvestor
CA09784Y1088,1000,WebPortfolio,WebInvestor
CA1125851040,1000,WebPortfolio,WebInvestor
CA1247651088,1000,WebPortfolio,WebInvestor
CA1249003098,1000,WebPortfolio,WebInvestor
CA1254911003,1000,WebPortfolio,WebInvestor
CA13321L1085,1000,WebPortfolio,WebInvestor
CA1360691010,1000,WebPortfolio,WebInvestor
CA1363751027,1000,WebPortfolio,WebInvestor
CA1363851017,1000,WebPortfolio,WebInvestor
CA13645T1003,1000,WebPortfolio,WebInvestor
CA1366812024,1000,WebPortfolio,WebInvestor
CA15135U1093,1000,WebPortfolio,WebInvestor
CA21037X1006,1000,WebPortfolio,WebInvestor
CA25675T1075,1000,WebPortfolio,WebInvestor
CA2849021035,1000,WebPortfolio,WebInvestor
CA2861812014,1000,WebPortfolio,WebInvestor
CA2918434077,1000,WebPortfolio,WebInvestor
CA2925051047,1000,WebPortfolio,WebInvestor
CA29250N1050,1000,WebPortfolio,WebInvestor
CA2927661025,1000,WebPortfolio,WebInvestor
CA3039011026,1000,WebPortfolio,WebInvestor
CA3180714048,1000,WebPortfolio,WebInvestor
CA31943B1004,1000,WebPortfolio,WebInvestor
CA3495531079,1000,WebPortfolio,WebInvestor
CA3518581051,1000,WebPortfolio,WebInvestor
CA3759161035,1000,WebPortfolio,WebInvestor
CA3809564097,1000,WebPortfolio,WebInvestor
CA39138C1068,1000,WebPortfolio,WebInvestor
CA39945C1095,1000,WebPortfolio,WebInvestor
CA4044282032,1000,WebPortfolio,WebInvestor
CA4495861060,1000,WebPortfolio,WebInvestor
CA4509131088,1000,WebPortfolio,WebInvestor
CA4530384086,1000,WebPortfolio,WebInvestor
CA4558711038,1000,WebPortfolio,WebInvestor
CA45823T1066,1000,WebPortfolio,WebInvestor
CA45833V1094,1000,WebPortfolio,WebInvestor
CA47215Q1046,1000,WebPortfolio,WebInvestor
CA4932711001,1000,WebPortfolio,WebInvestor
CA4969024047,1000,WebPortfolio,WebInvestor
CA5394811015,1000,WebPortfolio,WebInvestor
CA5503721063,1000,WebPortfolio,WebInvestor
CA5592224011,1000,WebPortfolio,WebInvestor
CA56501R1064,1000,WebPortfolio,WebInvestor
CA59162N1096,1000,WebPortfolio,WebInvestor
CA6330671034,1000,WebPortfolio,WebInvestor
CA6445351068,1000,WebPortfolio,WebInvestor
CA6539051095,1000,WebPortfolio,WebInvestor
CA68272K1030,1000,WebPortfolio,WebInvestor
CA6837151068,1000,WebPortfolio,WebInvestor
CA6979001089,1000,WebPortfolio,WebInvestor
CA6993202069,1000,WebPortfolio,WebInvestor
CA7063271034,1000,WebPortfolio,WebInvestor
CA7170461064,1000,WebPortfolio,WebInvestor
CA73755L1076,1000,WebPortfolio,WebInvestor
CA7392391016,1000,WebPortfolio,WebInvestor
CA73927C1005,1000,WebPortfolio,WebInvestor
CA7397211086,1000,WebPortfolio,WebInvestor
CA74022D3085,1000,WebPortfolio,WebInvestor
CA76131D1033,1000,WebPortfolio,WebInvestor
CA7669101031,1000,WebPortfolio,WebInvestor
CA7751092007,1000,WebPortfolio,WebInvestor
CA7800871021,1000,WebPortfolio,WebInvestor
CA81783Q1054,1000,WebPortfolio,WebInvestor
CA82028K2002,1000,WebPortfolio,WebInvestor
CA83179X1087,1000,WebPortfolio,WebInvestor
CA8667961053,1000,WebPortfolio,WebInvestor
CA8672241079,1000,WebPortfolio,WebInvestor
CA8787422044,1000,WebPortfolio,WebInvestor
CA87971M1032,1000,WebPortfolio,WebInvestor
CA8849031056,1000,WebPortfolio,WebInvestor
CA8911605092,1000,WebPortfolio,WebInvestor
CA89156V1067,1000,WebPortfolio,WebInvestor
CA89353D1078,1000,WebPortfolio,WebInvestor
CA9004351081,1000,WebPortfolio,WebInvestor
CA9039141093,1000,WebPortfolio,WebInvestor
CA92340R1064,1000,WebPortfolio,WebInvestor
CA9237251058,1000,WebPortfolio,WebInvestor
CA9528451052,1000,WebPortfolio,WebInvestor
CA9611485090,1000,WebPortfolio,WebInvestor
CA98462Y1007,1000,WebPortfolio,WebInvestor
CH0000587979,1000,WebPortfolio,WebInvestor
CH0002497458,1000,WebPortfolio,WebInvestor
CH0008038389,1000,WebPortfolio,WebInvestor
CH0008742519,1000,WebPortfolio,WebInvestor
CH0009002962,1000,WebPortfolio,WebInvestor
CH0010532478,1000,WebPortfolio,WebInvestor
CH0010570759,1000,WebPortfolio,WebInvestor
CH0010570767,1000,WebPortfolio,WebInvestor
CH0010645932,1000,WebPortfolio,WebInvestor
CH0011037469,1000,WebPortfolio,WebInvestor
CH0011075394,1000,WebPortfolio,WebInvestor
CH0012005267,1000,WebPortfolio,WebInvestor
CH0012032048,1000,WebPortfolio,WebInvestor
CH0012138530,1000,WebPortfolio,WebInvestor
CH0012138605,1000,WebPortfolio,WebInvestor
CH0012221716,1000,WebPortfolio,WebInvestor
CH0012255144,1000,WebPortfolio,WebInvestor
CH0012255151,1000,WebPortfolio,WebInvestor
CH0012280076,1000,WebPortfolio,WebInvestor
CH0012410517,1000,WebPortfolio,WebInvestor
CH0012549785,1000,WebPortfolio,WebInvestor
CH0013841017,1000,WebPortfolio,WebInvestor
CH0014852781,1000,WebPortfolio,WebInvestor
CH0015251710,1000,WebPortfolio,WebInvestor
CH0021783391,1000,WebPortfolio,WebInvestor
CH0023405456,1000,WebPortfolio,WebInvestor
CH0024608827,1000,WebPortfolio,WebInvestor
CH0024638196,1000,WebPortfolio,WebInvestor
CH0024638212,1000,WebPortfolio,WebInvestor
CH0025238863,1000,WebPortfolio,WebInvestor
CH0038863350,1000,WebPortfolio,WebInvestor
CH0043238366,1000,WebPortfolio,WebInvestor
CH0044328745,1000,WebPortfolio,WebInvestor
CH0102484968,1000,WebPortfolio,WebInvestor
CH0102659627,1000,WebPortfolio,WebInvestor
CH0102993182,1000,WebPortfolio,WebInvestor
CH0114405324,1000,WebPortfolio,WebInvestor
CH0126881561,1000,WebPortfolio,WebInvestor
CH0198251305,1000,WebPortfolio,WebInvestor
CH0210483332,1000,WebPortfolio,WebInvestor
CH0244767585,1000,WebPortfolio,WebInvestor
CNE100000296,1000,WebPortfolio,WebInvestor
CNE100000PP1,1000,WebPortfolio,WebInvestor
CNE100000WS1,1000,WebPortfolio,WebInvestor
DE0005089031,1000,WebPortfolio,WebInvestor
DE0005140008,1000,WebPortfolio,WebInvestor
DE0005190003,1000,WebPortfolio,WebInvestor
DE0005190037,1000,WebPortfolio,WebInvestor
DE0005200000,1000,WebPortfolio,WebInvestor
DE0005439004,1000,WebPortfolio,WebInvestor
DE0005470405,1000,WebPortfolio,WebInvestor
DE0005501357,1000,WebPortfolio,WebInvestor
DE0005552004,1000,WebPortfolio,WebInvestor
DE0005557508,1000,WebPortfolio,WebInvestor
DE0005785604,1000,WebPortfolio,WebInvestor
DE0005785802,1000,WebPortfolio,WebInvestor
DE0005790430,1000,WebPortfolio,WebInvestor
DE0006047004,1000,WebPortfolio,WebInvestor
DE0006048408,1000,WebPortfolio,WebInvestor
DE0006048432,1000,WebPortfolio,WebInvestor
DE0006062144,1000,WebPortfolio,WebInvestor
DE0006202005,1000,WebPortfolio,WebInvestor
DE0006231004,1000,WebPortfolio,WebInvestor
DE0006483001,1000,WebPortfolio,WebInvestor
DE0006599905,1000,WebPortfolio,WebInvestor
DE0006602006,1000,WebPortfolio,WebInvestor
DE0007037129,1000,WebPortfolio,WebInvestor
DE0007037145,1000,WebPortfolio,WebInvestor
DE0007100000,1000,WebPortfolio,WebInvestor
DE0007164600,1000,WebPortfolio,WebInvestor
DE0007236101,1000,WebPortfolio,WebInvestor
DE0007257503,1000,WebPortfolio,WebInvestor
DE0007297004,1000,WebPortfolio,WebInvestor
DE0007500001,1000,WebPortfolio,WebInvestor
DE0007664005,1000,WebPortfolio,WebInvestor
DE0007664039,1000,WebPortfolio,WebInvestor
DE0008402215,1000,WebPortfolio,WebInvestor
DE0008404005,1000,WebPortfolio,WebInvestor
DE0008430026,1000,WebPortfolio,WebInvestor
DE000A0D6554,1000,WebPortfolio,WebInvestor
DE000A0HN5C6,1000,WebPortfolio,WebInvestor
DE000A1DAHH0,1000,WebPortfolio,WebInvestor
DE000A1EWWW0,1000,WebPortfolio,WebInvestor
DE000A1ML7J1,1000,WebPortfolio,WebInvestor
DE000A1PHFF7,1000,WebPortfolio,WebInvestor
DE000A2AA253,1000,WebPortfolio,WebInvestor
DE000BASF111,1000,WebPortfolio,WebInvestor
DE000BAY0017,1000,WebPortfolio,WebInvestor
DE000CBK1001,1000,WebPortfolio,WebInvestor
DE000CLS1001,1000,WebPortfolio,WebInvestor
DE000ENAG999,1000,WebPortfolio,WebInvestor
DE000EVNK013,1000,WebPortfolio,WebInvestor
DE000KD88880,1000,WebPortfolio,WebInvestor
DE000KSAG888,1000,WebPortfolio,WebInvestor
DE000LED4000,1000,WebPortfolio,WebInvestor
DE000PSM7770,1000,WebPortfolio,WebInvestor
DE000SYM9999,1000,WebPortfolio,WebInvestor
DE000TUAG000,1000,WebPortfolio,WebInvestor
DE000ZAL1111,1000,WebPortfolio,WebInvestor
DK0010181759,1000,WebPortfolio,WebInvestor
DK0010244425,1000,WebPortfolio,WebInvestor
DK0010244508,1000,WebPortfolio,WebInvestor
DK0010268606,1000,WebPortfolio,WebInvestor
DK0010272202,1000,WebPortfolio,WebInvestor
DK0010274414,1000,WebPortfolio,WebInvestor
DK0060079531,1000,WebPortfolio,WebInvestor
DK0060227585,1000,WebPortfolio,WebInvestor
DK0060228559,1000,WebPortfolio,WebInvestor
DK0060252690,1000,WebPortfolio,WebInvestor
DK0060336014,1000,WebPortfolio,WebInvestor
DK0060448595,1000,WebPortfolio,WebInvestor
DK0060534915,1000,WebPortfolio,WebInvestor
DK0060636678,1000,WebPortfolio,WebInvestor
ES0105046009,1000,WebPortfolio,WebInvestor
ES0109067019,1000,WebPortfolio,WebInvestor
ES0111845014,1000,WebPortfolio,WebInvestor
ES0113211835,1000,WebPortfolio,WebInvestor
ES0113679I37,1000,WebPortfolio,WebInvestor
ES0113790226,1000,WebPortfolio,WebInvestor
ES0113860A34,1000,WebPortfolio,WebInvestor
ES0113900J37,1000,WebPortfolio,WebInvestor
ES0116870314,1000,WebPortfolio,WebInvestor
ES0118594417,1000,WebPortfolio,WebInvestor
ES0118900010,1000,WebPortfolio,WebInvestor
ES0124244E34,1000,WebPortfolio,WebInvestor
ES0126775032,1000,WebPortfolio,WebInvestor
ES0130670112,1000,WebPortfolio,WebInvestor
ES0130960018,1000,WebPortfolio,WebInvestor
ES0132105018,1000,WebPortfolio,WebInvestor
ES0140609019,1000,WebPortfolio,WebInvestor
ES0143416115,1000,WebPortfolio,WebInvestor
ES0144580Y14,1000,WebPortfolio,WebInvestor
ES0148396007,1000,WebPortfolio,WebInvestor
ES0167050915,1000,WebPortfolio,WebInvestor
ES0171996087,1000,WebPortfolio,WebInvestor
ES0173093024,1000,WebPortfolio,WebInvestor
ES0173516115,1000,WebPortfolio,WebInvestor
ES0177542018,1000,WebPortfolio,WebInvestor
ES0178430E18,1000,WebPortfolio,WebInvestor
ES0184933812,1000,WebPortfolio,WebInvestor
FI0009000681,1000,WebPortfolio,WebInvestor
FI0009003305,1000,WebPortfolio,WebInvestor
FI0009003727,1000,WebPortfolio,WebInvestor
FI0009005318,1000,WebPortfolio,WebInvestor
FI0009005961,1000,WebPortfolio,WebInvestor
FI0009005987,1000,WebPortfolio,WebInvestor
FI0009007611,1000,WebPortfolio,WebInvestor
FI0009007694,1000,WebPortfolio,WebInvestor
FI0009007835,1000,WebPortfolio,WebInvestor
FI0009007884,1000,WebPortfolio,WebInvestor
FI0009013296,1000,WebPortfolio,WebInvestor
FI0009013403,1000,WebPortfolio,WebInvestor
FI0009014377,1000,WebPortfolio,WebInvestor
FR0000035081,1000,WebPortfolio,WebInvestor
FR0000039299,1000,WebPortfolio,WebInvestor
FR0000045072,1000,WebPortfolio,WebInvestor
FR0000051732,1000,WebPortfolio,WebInvestor
FR0000052292,1000,WebPortfolio,WebInvestor
FR0000054900,1000,WebPortfolio,WebInvestor
FR0000064578,1000,WebPortfolio,WebInvestor
FR0000073272,1000,WebPortfolio,WebInvestor
FR0000077919,1000,WebPortfolio,WebInvestor
FR0000120073,1000,WebPortfolio,WebInvestor
FR0000120172,1000,WebPortfolio,WebInvestor
FR0000120222,1000,WebPortfolio,WebInvestor
FR0000120271,1000,WebPortfolio,WebInvestor
FR0000120321,1000,WebPortfolio,WebInvestor
FR0000120354,1000,WebPortfolio,WebInvestor
FR0000120404,1000,WebPortfolio,WebInvestor
FR0000120503,1000,WebPortfolio,WebInvestor
FR0000120560,1000,WebPortfolio,WebInvestor
FR0000120578,1000,WebPortfolio,WebInvestor
FR0000120628,1000,WebPortfolio,WebInvestor
FR0000120644,1000,WebPortfolio,WebInvestor
FR0000120685,1000,WebPortfolio,WebInvestor
FR0000120693,1000,WebPortfolio,WebInvestor
FR0000121014,1000,WebPortfolio,WebInvestor
FR0000121121,1000,WebPortfolio,WebInvestor
FR0000121204,1000,WebPortfolio,WebInvestor
FR0000121220,1000,WebPortfolio,WebInvestor
FR0000121261,1000,WebPortfolio,WebInvestor
FR0000121329,1000,WebPortfolio,WebInvestor
FR0000121485,1000,WebPortfolio,WebInvestor
FR0000121501,1000,WebPortfolio,WebInvestor
FR0000121667,1000,WebPortfolio,WebInvestor
FR0000121964,1000,WebPortfolio,WebInvestor
FR0000121972,1000,WebPortfolio,WebInvestor
FR0000124141,1000,WebPortfolio,WebInvestor
FR0000124711,1000,WebPortfolio,WebInvestor
FR0000125007,1000,WebPortfolio,WebInvestor
FR0000125338,1000,WebPortfolio,WebInvestor
FR0000125346,1000,WebPortfolio,WebInvestor
FR0000125486,1000,WebPortfolio,WebInvestor
FR0000125585,1000,WebPortfolio,WebInvestor
FR0000125684,1000,WebPortfolio,WebInvestor
FR0000127771,1000,WebPortfolio,WebInvestor
FR0000130213,1000,WebPortfolio,WebInvestor
FR0000130395,1000,WebPortfolio,WebInvestor
FR0000130403,1000,WebPortfolio,WebInvestor
FR0000130577,1000,WebPortfolio,WebInvestor
FR0000130650,1000,WebPortfolio,WebInvestor
FR0000130809,1000,WebPortfolio,WebInvestor
FR0000131104,1000,WebPortfolio,WebInvestor
FR0000131708,1000,WebPortfolio,WebInvestor
FR0000131906,1000,WebPortfolio,WebInvestor
FR0000133308,1000,WebPortfolio,WebInvestor
FR0004035913,1000,WebPortfolio,WebInvestor
FR0006174348,1000,WebPortfolio,WebInvestor
FR0010040865,1000,WebPortfolio,WebInvestor
FR0010208488,1000,WebPortfolio,WebInvestor
FR0010220475,1000,WebPortfolio,WebInvestor
FR0010221234,1000,WebPortfolio,WebInvestor
FR0010242511,1000,WebPortfolio,WebInvestor
FR0010307819,1000,WebPortfolio,WebInvestor
FR0010313833,1000,WebPortfolio,WebInvestor
FR0010340141,1000,WebPortfolio,WebInvestor
FR0010411983,1000,WebPortfolio,WebInvestor
FR0010451203,1000,WebPortfolio,WebInvestor
FR0010533075,1000,WebPortfolio,WebInvestor
FR0010613471,1000,WebPortfolio,WebInvestor
FR0010908533,1000,WebPortfolio,WebInvestor
FR0011594233,1000,WebPortfolio,WebInvestor
FR0013176526,1000,WebPortfolio,WebInvestor
GB0000031285,1000,WebPortfolio,WebInvestor
GB0000282623,1000,WebPortfolio,WebInvestor
GB0000456144,1000,WebPortfolio,WebInvestor
GB0000536739,1000,WebPortfolio,WebInvestor
GB0000566504,1000,WebPortfolio,WebInvestor
GB0000811801,1000,WebPortfolio,WebInvestor
GB0000961622,1000,WebPortfolio,WebInvestor
GB0001367019,1000,WebPortfolio,WebInvestor
GB0001411924,1000,WebPortfolio,WebInvestor
GB0002162385,1000,WebPortfolio,WebInvestor
GB0002374006,1000,WebPortfolio,WebInvestor
GB0002405495,1000,WebPortfolio,WebInvestor
GB0002634946,1000,WebPortfolio,WebInvestor
GB0002875804,1000,WebPortfolio,WebInvestor
GB0004065016,1000,WebPortfolio,WebInvestor
GB0004082847,1000,WebPortfolio,WebInvestor
GB0004478896,1000,WebPortfolio,WebInvestor
GB0004544929,1000,WebPortfolio,WebInvestor
GB0005405286,1000,WebPortfolio,WebInvestor
GB0005603997,1000,WebPortfolio,WebInvestor
GB0005758098,1000,WebPortfolio,WebInvestor
GB0006043169,1000,WebPortfolio,WebInvestor
GB0006731235,1000,WebPortfolio,WebInvestor
GB0006776081,1000,WebPortfolio,WebInvestor
GB0006825383,1000,WebPortfolio,WebInvestor
GB0006834344,1000,WebPortfolio,WebInvestor
GB0007099541,1000,WebPortfolio,WebInvestor
GB0007188757,1000,WebPortfolio,WebInvestor
GB0007669376,1000,WebPortfolio,WebInvestor
GB0007739609,1000,WebPortfolio,WebInvestor
GB0007908733,1000,WebPortfolio,WebInvestor
GB0007973794,1000,WebPortfolio,WebInvestor
GB0007980591,1000,WebPortfolio,WebInvestor
GB0008706128,1000,WebPortfolio,WebInvestor
GB0008754136,1000,WebPortfolio,WebInvestor
GB0008782301,1000,WebPortfolio,WebInvestor
GB0008847096,1000,WebPortfolio,WebInvestor
GB0009223206,1000,WebPortfolio,WebInvestor
GB0009252882,1000,WebPortfolio,WebInvestor
GB0009465807,1000,WebPortfolio,WebInvestor
GB0009697037,1000,WebPortfolio,WebInvestor
GB0009895292,1000,WebPortfolio,WebInvestor
GB0022569080,1000,WebPortfolio,WebInvestor
GB0030913577,1000,WebPortfolio,WebInvestor
GB0030927254,1000,WebPortfolio,WebInvestor
GB0031215220,1000,WebPortfolio,WebInvestor
GB0031274896,1000,WebPortfolio,WebInvestor
GB0031348658,1000,WebPortfolio,WebInvestor
GB0031638363,1000,WebPortfolio,WebInvestor
GB0031698896,1000,WebPortfolio,WebInvestor
GB0031743007,1000,WebPortfolio,WebInvestor
GB0031809436,1000,WebPortfolio,WebInvestor
GB0032089863,1000,WebPortfolio,WebInvestor
